Rule name,Average loss,Average number of samples,Estimate bias,Estimate MSE,TP,TN,FP,FN
bayes_99,94.63647467463295,7295.5875,0.0029617219730611157,5.9517087148981445e-05,3397,3508,569,526
bayes_95,104.03001383535806,5066.9375,0.0047913485335212514,9.612831105943377e-05,3319,3502,575,604
expected_conversion_loss,111.43441618155045,8435.8375,0.0036672063202336583,8.169820201437565e-05,3396,3458,619,527
bayes_90,139.52586135090505,3410.925,0.006069751707404468,0.00012032358067852266,3192,3405,672,731
obrien_fleming,140.8376232386233,8996.875,0.0034910546231810844,5.9039474009905086e-05,3249,3395,682,674
most_likely,148.13793368913966,10000.0,0.002444497236957829,3.711904336923599e-05,3249,3395,682,674
evan_miller_most_likely,150.65379878750448,9183.908,0.0032731115838495373,5.4902343607051493e-05,3227,3370,707,696
naive_peeking,166.49183159453912,7780.175,0.022914501851734694,0.0019250116438771705,3312,3208,869,611
current_approach,403.77356565905035,10000.0,0.0046717998132032625,5.33090288214252e-05,1272,4053,24,2651
evan_miller,426.3058046278391,9183.908,0.007418812380592187,0.00011137311569128925,1169,4060,17,2754
